file,nodes,edges,cyclomatic_complexity,weakly_connected_components,scc_count,density,avg_betweenness,max_betweenness,avg_in_degree,avg_out_degree,max_in_degree,max_out_degree,leaf_nodes,root_nodes,complexity_per_node,edge_to_node_ratio,scc_to_node_ratio,leaf_ratio,label,category
28d552daec4d74af22762dc332ae7f438b7163b8e1f639a39a2c8e64aafd9af4,2422,2324,620,359,2289,0.000396,2e-06,0.000289,0.9595,0.9595,85,2,849,611,0.255987,0.959538,0.945087,0.350537,1,malware
2995f97d1e9d68198df6d53a3d96345259d258cf97847166b00060e7b2d97d77,4006,3909,747,422,3831,0.000244,0.000733,0.006069,0.9758,0.9758,97,2,973,710,0.18647,0.975786,0.956316,0.242886,1,malware
29b3e46fa4dc23e0d1516a6a98e389a661654820442576c74d044335b8cc3849,1702,2431,827,49,1504,0.00084,0.000784,0.010459,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
2cc836d47f9bbf8cd638534d534d14d0a6973bff58bdf279bf83464725e09958,4086,5809,1825,51,3445,0.000348,0.000309,0.017189,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
2cd4a05fea46d290b04487ec2e10e19455a569f1b2b677daa787ba4eb87db373,133,192,61,1,96,0.010936,0.048543,0.194695,1.4436,1.4436,7,2,32,1,0.458647,1.443609,0.721804,0.240601,1,malware
2d1c5f8d9631d9232bb4ea3e527b6c5f6793a7a2edfa04b6ec25bbe8ee6bf7c1,9107,14977,5900,15,7611,0.000181,0.000135,0.017263,1.6446,1.6446,175,32,1021,221,0.647853,1.644559,0.835731,0.112112,1,malware
2d51152f2ede982b4b3f77b2c25f355c5cab0e69e79427f95cf3720d34a5549d,3741,5935,2214,10,2934,0.000424,0.000974,0.03161,1.5865,1.5865,42,49,416,198,0.59182,1.586474,0.784282,0.1112,1,malware
2d5e237aa9d0862aee3452913a1930e26fadc4520eaef5792ee350b324ed52f1,4086,5809,1825,51,3445,0.000348,0.000343,0.012963,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
2d6ab50c1c2ee48450980342fa29628d4327009a5fa8a167d48261ec81d9c763,1702,2431,827,49,1504,0.00084,0.000997,0.019924,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
2db70210de791f7c4326eb6500c266670c4dbd8e456087158e9cd45e4d3587f4,7181,11822,4677,18,6097,0.000229,0.000169,0.013982,1.6463,1.6463,191,32,861,196,0.651302,1.646289,0.849046,0.1199,1,malware
2e7140e48a49bcdf24247fac11212bee581e971dfdba3ed1916148b52b96d64e,2321,2249,618,345,2153,0.000418,2.2e-05,0.002432,0.969,0.969,82,2,813,591,0.266265,0.968979,0.927617,0.35028,1,malware
2ffe2ca68a56e395d116426ba5829770aa2e295dfddb654ba6d4f877d40e5a61,1702,2431,827,49,1504,0.00084,0.000908,0.012212,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
30854277fce6e5638f0fba565779b91778ff47ff59ebe597756d502e789bd5e2,737,746,187,89,680,0.001375,7.8e-05,0.003401,1.0122,1.0122,20,2,245,155,0.253731,1.012212,0.922659,0.332429,1,malware
30e8b74ef5e17497491d47e74549b987c741b2777175025d2c4231cf6b5ce5e1,1702,2431,827,49,1504,0.00084,0.000892,0.011841,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
3131b67702de2e4f5d8b8831964bae06040f1f261a61e3aff996bbb407194be5,1607,2098,585,47,1419,0.000813,0.000871,0.011146,1.3055,1.3055,272,3,202,322,0.364032,1.305538,0.883012,0.1257,1,malware
336c7cd385cc8552f5a664dcfd4192f21d01aa26f0daac1f7ff40ca61f2a7a30,11255,18035,6840,30,9541,0.000142,0.000109,0.011593,1.6024,1.6024,183,32,1530,225,0.60773,1.602399,0.847712,0.13594,1,malware
341144f7529d349cf00757c89fb78901f1aecb2324667c27f1bd01e5f52d6303,3552,3867,791,238,3505,0.000307,0.0,5.4e-05,1.0887,1.0887,687,2,1044,890,0.222691,1.088682,0.986768,0.293919,1,malware
342afd111c2ba6ae3813b7cb9ad98fb0141e09fec01077a2ac5144d4163154ef,5932,7415,2507,512,5251,0.000211,0.000132,0.011595,1.25,1.25,132,8,1538,907,0.422623,1.25,0.885199,0.259272,1,malware
34550eb9f3ee4a33ae79b0415549eb3634a19bd4c07067e393218fb207f85394,156,189,51,9,131,0.007816,0.002701,0.020714,1.2115,1.2115,4,2,32,24,0.326923,1.211538,0.839744,0.205128,1,malware
3479a0a885dc48bee04af623d32e37fc0ddf30cdac774a83931eee10c269737a,4086,5809,1825,51,3445,0.000348,0.000267,0.010918,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
35002d4006fa4b87e782da782405ff434507afdd26ef300d97669277a33a41ae,1649,2169,614,47,1453,0.000798,0.000735,0.013643,1.3153,1.3153,272,2,210,316,0.372347,1.315343,0.88114,0.12735,1,malware
3536260bf4fbf791bd46763510d6d2720794696db1257947b5c11b26d48c9880,3741,5935,2214,10,2934,0.000424,0.000836,0.041194,1.5865,1.5865,42,49,416,198,0.59182,1.586474,0.784282,0.1112,1,malware
358d9b901c64b2bd84b2d18d807ca64417100ad06e302fd9a964aef2c2130601,1180,1039,271,206,1160,0.000747,1e-06,6.8e-05,0.8805,0.8805,105,2,420,356,0.229661,0.880508,0.983051,0.355932,1,malware
366cd24cc3053240e0f045b30634a9951bc5508919f50f21aff581cc3caa2acc,1991,1949,524,283,1848,0.000492,2.4e-05,0.002534,0.9789,0.9789,73,2,681,501,0.263184,0.978905,0.928177,0.342039,1,malware
36a04d0242a3c3879be63a934eca53bfb1f521857b47d6f6540319bac25e778c,2335,2293,572,307,2244,0.000421,2e-06,0.000373,0.982,0.982,43,2,768,529,0.244968,0.982013,0.961028,0.328908,1,malware
36d011aa77ae4914a46ab55f8110ff2056ee7e4a00448ecb6575c6b45c55e185,2456,2265,595,393,2409,0.000376,0.0,4.5e-05,0.9222,0.9222,84,2,923,653,0.242264,0.922231,0.980863,0.375814,1,malware
37649c45bc3426c7fa7436dd21ea01558014c6820602efea193e5463574670f0,2452,2261,595,393,2405,0.000376,1e-06,0.000139,0.9221,0.9221,84,2,921,652,0.242659,0.922104,0.980832,0.375612,1,malware
384b861daf5c3b39e4a5ad329d8aae85eb6dc896254133fbf6f721bf5340f11a,433,580,181,17,348,0.003101,0.000892,0.010139,1.3395,1.3395,7,6,107,81,0.418014,1.339492,0.803695,0.247113,1,malware
39169bff39ed41dc231052cf60e60159c47732a202d214a8ce0eaa2ac4703120,174,209,53,9,149,0.006943,0.00209,0.015465,1.2011,1.2011,4,2,36,27,0.304598,1.201149,0.856322,0.206897,1,malware
3b188447ac957968887625d4102931425afadff03e1b1c11353c5384cd69eb55,276,265,77,44,243,0.003491,0.001041,0.02354,0.9601,0.9601,11,2,84,61,0.278985,0.960145,0.880435,0.304348,1,malware
3ba4b7182af04858b1cdfbc9c3657f7311c3b28cdf34df6dd7b97bcb50bfc210,4753,7726,2993,10,3902,0.000342,0.000611,0.030909,1.6255,1.6255,103,8,603,125,0.629708,1.6255,0.820955,0.126867,1,malware
3bf47c2844f71792b756c902eb38618f5c0c357a38d989ddbbb0cef4a990d957,2452,2261,595,393,2405,0.000376,1e-06,0.000216,0.9221,0.9221,84,2,921,652,0.242659,0.922104,0.980832,0.375612,1,malware
3cdde44ee45b42cf72b079afe181bf3fde526ee170de74a3d54e54fec62f5c02,2321,2249,618,345,2153,0.000418,1.9e-05,0.001807,0.969,0.969,82,2,813,591,0.266265,0.968979,0.927617,0.35028,1,malware
3d971e4467b3956e0e46f8adebb01e704d673cac229ca2670242b53600333b31,4086,5809,1825,51,3445,0.000348,0.000255,0.013118,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
3ec2cdebfe94f9a58b141ee994ec8e1340bb3ad0913890121c8f88199ee10ed4,4086,5809,1825,51,3445,0.000348,0.000335,0.021632,1.4217,1.4217,52,6,660,430,0.446647,1.421684,0.843123,0.161527,1,malware
3ec6ca63dc4ec3d1dbce564512fa55c73beceec8c1c627d9e049ca3bbbce2126,1702,2431,827,49,1504,0.00084,0.000902,0.012229,1.4283,1.4283,187,2,276,146,0.485899,1.42832,0.883666,0.162162,1,malware
3efff401e9d0bb58ad4a51eb9a93f36272f6a6caa6658746668f6e74b7fd7ec9,175,327,154,1,83,0.010739,0.045331,0.216447,1.8686,1.8686,91,2,6,3,0.88,1.868571,0.474286,0.034286,1,malware
3f083bd9ffa58ece1dff9cc3ebe292115628bf2dec0a736f0913e033e8a470b3,5102,5190,1200,556,4768,0.000199,5.1e-05,0.003445,1.0172,1.0172,41,2,1496,983,0.235202,1.017248,0.934535,0.293218,1,malware
3f1807169284619168bb2d8178cc118f8cc59261123613746e138bad9055052f,1626,1470,358,257,1617,0.000556,1e-06,5.5e-05,0.9041,0.9041,118,2,607,508,0.220172,0.904059,0.994465,0.373309,1,malware
3f47469a33b66207b2ee041e30e7de8faed0c0789bf847a7c01cb6dc671b9d9a,198,215,61,22,185,0.005512,0.002692,0.026531,1.0859,1.0859,5,2,66,24,0.308081,1.085859,0.934343,0.333333,1,malware
3fd096a3ed80f7194f40c0dbbddc9035a9e72407dc6ee96110a1a0075b6f83ee,2472,2476,664,330,2271,0.000405,1.3e-05,0.000814,1.0016,1.0016,58,3,762,561,0.268608,1.001618,0.918689,0.308252,1,malware
3ff0653766003fa3ea3005e3e82b956cfe31339abb95cfc625d20f9b726bf857,276,265,77,44,243,0.003491,0.001134,0.024185,0.9601,0.9601,11,2,84,61,0.278985,0.960145,0.880435,0.304348,1,malware
41b5ddae8f9e508cc9c861c055cc0df1da861b1778c87e2dbf3d2105577fb989,2321,2249,618,345,2153,0.000418,1.9e-05,0.002613,0.969,0.969,82,2,813,591,0.266265,0.968979,0.927617,0.35028,1,malware
